tconst,title,year,runtime,genre,director,rating,num_votes,img_url
tt0021153,Monte Carlo,1930,90,"Comedy,Musical,Romance",NA,6.8,1047,NA
tt0021156,Morocco,1930,92,"Drama,Romance",NA,7.1,4996,NA
tt0021165,Murder!,1930,104,"Crime,Mystery,Thriller",NA,6.4,5137,NA
tt0021309,The Story of the Fox,1937,63,"Adventure,Animation,Comedy",NA,7.8,1049,NA
tt0021331,The Blood of a Poet,1932,55,Fantasy,NA,7.4,5205,NA
tt0021409,Under the Roofs of Paris,1930,96,"Comedy,Drama,Musical",NA,7.1,1838,NA
tt0021542,Westfront 1918,1930,97,"Drama,Romance,War",NA,7.4,1401,NA
tt0021571,Earth,1930,75,Drama,NA,7.3,4363,NA
tt0021577,L'Age d'Or,1930,60,"Comedy,Drama",NA,7.3,11637,NA
tt0021622,Arrowsmith,1931,108,Drama,NA,6.2,1354,NA
tt0021633,The Bachelor Father,1931,90,"Comedy,Drama,Romance",NA,6.5,1019,NA
tt0021668,The Black Camel,1931,71,"Crime,Mystery,Thriller",NA,6.8,1206,NA
tt0021673,Blonde Crazy,1931,79,"Comedy,Crime,Drama",NA,7.1,1390,NA
tt0021730,The Champ,1931,86,"Drama,Sport",NA,7.3,2486,NA
tt0021739,La Chienne,1931,91,"Crime,Drama",NA,7.6,3283,NA
tt0021746,Cimarron,1931,123,"Drama,Western",NA,5.9,4866,NA
tt0021749,City Lights,1931,87,"Comedy,Drama,Romance",NA,8.5,150540,NA
tt0021750,City Streets,1931,83,"Crime,Drama,Film-Noir",NA,7.1,1117,NA
tt0021800,Dishonored,1931,91,"Drama,Romance,War",NA,7.3,1787,NA
tt0021814,Dracula,1931,75,"Fantasy,Horror",NA,7.5,41799,NA
tt0021815,Drácula,1931,104,"Fantasy,Horror",NA,7.2,3694,NA
tt0021818,The 3 Penny Opera,1931,112,"Comedy,Drama,Musical",NA,7.4,1818,NA
tt0021873,Five Star Final,1931,89,"Crime,Drama",NA,7.2,1515,NA
tt0021874,Five and Ten,1931,89,"Drama,Romance",NA,6.3,1219,NA
tt0021884,Frankenstein,1931,70,"Drama,Horror,Sci-Fi",NA,7.8,59399,NA
tt0021885,A Free Soul,1931,93,"Crime,Drama,Romance",NA,6.7,2060,NA
tt0021890,The Front Page,1931,101,Comedy,NA,6.7,2110,NA
tt0021985,"Hyppolit, the Butler",1931,72,Comedy,NA,7.8,1309,NA
tt0022000,Indiscreet,1931,92,"Comedy,Drama,Musical",NA,6.3,1276,NA
tt0022017,Comradeship,1931,93,Drama,NA,7.5,1111,NA
tt0022054,The Last Flight,1931,76,Drama,NA,6.8,1197,NA
tt0022074,The Smiling Lieutenant,1931,93,"Comedy,Musical,Romance",NA,7.2,3016,NA
tt0022080,Limite,1931,114,"Drama,Romance",NA,7.4,1569,NA
tt0022100,M,1931,117,"Crime,Mystery,Thriller",NA,8.3,130408,NA
tt0022111,The Maltese Falcon,1931,80,"Crime,Drama,Film-Noir",NA,6.9,2553,NA
tt0022125,Marius,1931,130,"Comedy,Drama,Romance",NA,7.9,1821,NA
tt0022150,Le Million,1931,81,"Comedy,Musical",NA,7.4,2979,NA
tt0022153,The Miracle Woman,1931,90,"Drama,Romance",NA,7.1,1657,NA
tt0022158,Monkey Business,1931,77,"Comedy,Musical",NA,7.5,10535,NA
tt0022183,Mädchen in Uniform,1931,88,"Drama,Romance",NA,7.6,2169,NA
tt0022208,Night Nurse,1931,72,"Comedy,Crime,Drama",NA,7.1,2970,NA
tt0022251,Pardon Us,1931,56,"Comedy,Crime,Drama",NA,7.0,1984,NA
tt0022264,The Phantom of Paris,1931,74,"Drama,Thriller",NA,6.5,1227,NA
tt0022268,Platinum Blonde,1931,89,"Comedy,Romance",NA,6.9,2611,NA
tt0022276,Possessed,1931,76,"Drama,Romance",NA,6.9,1521,NA
tt0022286,The Public Enemy,1931,83,"Crime,Drama",NA,7.7,16277,NA
tt0022335,Safe in Hell,1931,73,"Crime,Drama",NA,7.0,1012,NA
tt0022395,The Skin Game,1931,85,Drama,NA,5.8,2611,NA
tt0022403,Smart Money,1931,81,"Crime,Drama",NA,6.9,1530,NA
tt0022436,Street Scene,1931,80,"Drama,Romance",NA,7.6,1322,NA
tt0022454,Svengali,1931,81,"Drama,Horror,Romance",NA,6.8,1587,NA
tt0022458,Tabu: A Story of the South Seas,1931,86,"Adventure,Drama,Romance",NA,7.5,4476,NA
tt0022485,Tokyo Chorus,1931,90,"Comedy,Drama",NA,7.3,1118,NA
tt0022489,Tonight or Never,1931,80,"Comedy,Romance",NA,6.5,1285,NA
tt0022550,Waterloo Bridge,1931,81,"Drama,Romance",NA,7.5,2254,NA
tt0022626,American Madness,1932,75,Drama,NA,7.4,1686,NA
tt0022685,A Bill of Divorcement,1932,70,Drama,NA,6.5,1351,NA
tt0022694,The Blue Light,1932,85,"Drama,Fantasy,Mystery",NA,6.8,1043,NA
